序号,系列值,频率
1,1998.6,0.016666667
2,1970.5,0.033333333
3,1771,0.05
4,1768,0.066666667
5,1759.1,0.083333333
6,1706.7,0.1
7,1614.1,0.116666667
8,1564.7,0.133333333
9,1542.2,0.15
10,1512.9,0.166666667
11,1503.2,0.183333333
12,1502.2,0.2
13,1500.3,0.216666667
14,1470.9,0.233333333
15,1437.3,0.25
16,1422.1,0.266666667
17,1393.8,0.283333333
18,1384.6,0.3
19,1350,0.316666667
20,1305.6,0.333333333
21,1301.5,0.35
22,1290.5,0.366666667
23,1269.9,0.383333333
24,1243.7,0.4
25,1219.8,0.416666667
26,1210.9,0.433333333
27,1207.5,0.45
28,1188.3,0.466666667
29,1182.5,0.483333333
30,1182.3,0.5
31,1162.5,0.516666667
32,1161.5,0.533333333
33,1146.2,0.55
34,1118.4,0.566666667
35,1103.3,0.583333333
36,1091.4,0.6
37,1082,0.616666667
38,1075.9,0.633333333
39,1070.4,0.65
40,1070,0.666666667
41,1069.5,0.683333333
42,1058.4,0.7
43,1036.3,0.716666667
44,1036.3,0.733333333
45,1023.1,0.75
46,1023,0.766666667
47,1010.7,0.783333333
48,963.2,0.8
49,941.5,0.816666667
50,934.9,0.833333333
51,920.5,0.85
52,916.7,0.866666667
53,908,0.883333333
54,900.7,0.9
55,892.4,0.916666667
56,839,0.933333333
57,837.1,0.95
58,783.5,0.966666667
59,734.3,0.983333333
